wavelength_um,snr
1.210522041763340884e+00,1.228999258845244746e+01
1.210538476411445963e+00,1.229721013748975977e+01
1.210554911059551264e+00,1.230058328439058890e+01
1.210571345707656565e+00,1.230395165281350955e+01
1.210587780355761645e+00,1.231419357819431148e+01
1.210604215003866946e+00,1.232771744417448012e+01
1.210620649651972025e+00,1.233975000902625929e+01
1.210637084300077104e+00,1.234653187681714037e+01
1.210653518948182406e+00,1.235331335028611655e+01
1.210669953596287485e+00,1.236117435738575843e+01
1.210686388244392786e+00,1.236936534831953871e+01
1.210702822892498087e+00,1.237759379747608968e+01
1.210719257540603166e+00,1.238590362245022369e+01
1.210735692188708246e+00,1.239421496222671948e+01
1.210752126836813547e+00,1.239989395514243675e+01
1.210768561484918626e+00,1.240512598833009150e+01
1.210784996133023927e+00,1.240942131184822728e+01
1.210801430781129007e+00,1.241230966993988893e+01
1.210817865429234086e+00,1.241519264711199710e+01
1.210834300077339387e+00,1.242598059604724980e+01
1.210850734725444466e+00,1.243724166078798632e+01
1.210867169373549768e+00,1.244650939955385738e+01
1.210883604021655069e+00,1.245368397772080193e+01
1.210900038669760148e+00,1.246091581531402426e+01
1.210916473317865227e+00,1.246985869154030624e+01
1.210932907965970529e+00,1.247880385047821505e+01
1.210949342614075608e+00,1.248591929700079994e+01
1.210965777262180909e+00,1.249168745882117015e+01
1.210982211910285988e+00,1.249804710754502501e+01
1.210998646558391068e+00,1.250874643110023321e+01
1.211015081206496369e+00,1.251945015734310473e+01
1.211031515854601670e+00,1.252644455917186228e+01
1.211047950502706749e+00,1.253155953958144231e+01
1.211064385150812051e+00,1.253774108258716247e+01
1.211080819798917130e+00,1.254799650439620073e+01
1.211097254447022209e+00,1.255825578081695326e+01
1.211113689095127510e+00,1.256669992238290945e+01
1.211130123743232589e+00,1.257454413684001615e+01
1.211146558391337891e+00,1.258108698782137758e+01
1.211162993039442970e+00,1.258451782657216889e+01
1.211179427687548271e+00,1.258794402634544163e+01
1.211195862335653350e+00,1.259428206555137741e+01
1.211212296983758652e+00,1.260118024807553638e+01
1.211228731631863731e+00,1.260740571346611283e+01
1.211245166279969032e+00,1.261254222106144063e+01
1.211261600928074111e+00,1.261767627403714087e+01
1.211278035576179191e+00,1.262713491379731146e+01
1.211294470224284492e+00,1.263694485308216819e+01
1.211310904872389571e+00,1.264719138600886339e+01
1.211327339520494872e+00,1.265749646617199886e+01
1.211343774168600174e+00,1.266771157085319466e+01
1.211360208816705253e+00,1.267482539027646915e+01
1.211376643464810332e+00,1.268193929734225911e+01
1.211393078112915633e+00,1.268988752472104942e+01
1.211409512761020713e+00,1.269850575060915965e+01
1.211425947409126014e+00,1.270700545257353120e+01
1.211442382057231093e+00,1.271440009451925413e+01
1.211458816705336172e+00,1.272179514265800471e+01
1.211475251353441474e+00,1.272711326861154468e+01
1.211491686001546775e+00,1.273126581220620679e+01
1.211508120649651854e+00,1.273571167682929861e+01
1.211524555297757155e+00,1.274147172880326373e+01
